epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,27.1078,1.20047,1.89062,0.01459,0.84081,0.68546,0.88667,0.68245,1.50776,1.13187,0.01023,2.11379e-05,2.11379e-05,2.11379e-05
25,28.2717,1.00044,2.54689,0.01503,0.95414,0.62896,0.88746,0.68248,1.51173,1.14362,0.01026,2.17741e-05,2.17741e-05,2.17741e-05
26,29.3717,1.0536,2.05528,0.01691,0.95414,0.62896,0.88746,0.68248,1.51173,1.14362,0.01026,2.23869e-05,2.23869e-05,2.23869e-05
27,30.5256,1.20116,1.87116,0.01355,0.91402,0.64178,0.88744,0.70004,1.51236,1.15893,0.01028,2.2976e-05,2.2976e-05,2.2976e-05
28,31.6381,1.09896,1.98605,0.01565,0.91402,0.64178,0.88744,0.70004,1.51236,1.15893,0.01028,2.35417e-05,2.35417e-05,2.35417e-05
29,32.7817,1.5737,1.926,0.01647,0.89362,0.65453,0.87307,0.69371,1.51144,1.22002,0.01021,2.40837e-05,2.40837e-05,2.40837e-05
30,33.9014,0.91088,1.88075,0.01145,0.89362,0.65453,0.87307,0.69371,1.51144,1.22002,0.01021,2.46022e-05,2.46022e-05,2.46022e-05
31,35.043,0.9809,1.85288,0.01178,0.74221,0.67373,0.83534,0.68196,1.51446,1.25026,0.01014,2.50971e-05,2.50971e-05,2.50971e-05
32,36.1674,1.08017,2.04721,0.01046,0.74221,0.67373,0.83534,0.68196,1.51446,1.25026,0.01014,2.55685e-05,2.55685e-05,2.55685e-05
33,37.3527,1.14473,2.18702,0.01634,0.73753,0.67793,0.83643,0.6834,1.53376,1.21648,0.01029,2.60163e-05,2.60163e-05,2.60163e-05
34,38.9579,0.97225,1.35708,0.02018,0.73753,0.67793,0.83643,0.6834,1.53376,1.21648,0.01029,2.64405e-05,2.64405e-05,2.64405e-05
35,40.5276,1.08923,1.82697,0.01186,0.70627,0.67559,0.83286,0.67244,1.55202,1.25254,0.01044,2.68412e-05,2.68412e-05,2.68412e-05
36,41.9065,0.98491,1.59743,0.0126,0.70627,0.67559,0.83286,0.67244,1.55202,1.25254,0.01044,2.72183e-05,2.72183e-05,2.72183e-05
37,43.4254,1.03444,2.36575,0.02221,0.70138,0.67648,0.80864,0.6604,1.56502,1.27474,0.01047,2.75718e-05,2.75718e-05,2.75718e-05
38,44.9519,1.25367,1.78662,0.0156,0.70138,0.67648,0.80864,0.6604,1.56502,1.27474,0.01047,2.79018e-05,2.79018e-05,2.79018e-05
39,46.3638,1.14503,2.66336,0.01897,0.66205,0.66667,0.80489,0.65699,1.62297,1.19393,0.01071,2.82082e-05,2.82082e-05,2.82082e-05
40,47.5923,1.45608,2.2925,0.02167,0.66205,0.66667,0.80489,0.65699,1.62297,1.19393,0.01071,2.84911e-05,2.84911e-05,2.84911e-05
41,48.9209,1.05512,1.64989,0.01364,0.70345,0.66667,0.80298,0.65482,1.63423,1.19123,0.01084,2.87504e-05,2.87504e-05,2.87504e-05
42,50.1034,1.123,1.65546,0.01733,0.70345,0.66667,0.80298,0.65482,1.63423,1.19123,0.01084,2.89861e-05,2.89861e-05,2.89861e-05
43,51.3254,0.47703,2.91988,0.00952,0.69198,0.67241,0.80379,0.65574,1.63195,1.22929,0.01072,2.91983e-05,2.91983e-05,2.91983e-05
44,52.5459,0.99768,1.45624,0.01364,0.69198,0.67241,0.80379,0.65574,1.63195,1.22929,0.01072,2.93869e-05,2.93869e-05,2.93869e-05
45,53.7652,0.62151,1.59152,0.01046,0.66945,0.67474,0.80373,0.64843,1.63266,1.26597,0.01067,2.9552e-05,2.9552e-05,2.9552e-05
46,55.0809,1.31262,1.81363,0.02222,0.66945,0.67474,0.80373,0.64843,1.63266,1.26597,0.01067,2.96935e-05,2.96935e-05,2.96935e-05
47,56.3081,1.02237,1.22019,0.01112,0.69026,0.67484,0.79265,0.64048,1.64842,1.30117,0.01149,2.98114e-05,2.98114e-05,2.98114e-05
48,57.4252,1.02185,1.36211,0.01356,0.69026,0.67484,0.79265,0.64048,1.64842,1.30117,0.01149,2.99058e-05,2.99058e-05,2.99058e-05
49,58.568,1.18162,1.65908,0.01441,0.68042,0.67907,0.80669,0.62718,1.66891,1.24055,0.01184,2.99766e-05,2.99766e-05,2.99766e-05
50,59.6846,1.08629,1.08885,0.01329,0.68042,0.67907,0.80669,0.62718,1.66891,1.24055,0.01184,3.00238e-05,3.00238e-05,3.00238e-05
51,60.8252,0.92756,1.27022,0.01052,0.68388,0.66522,0.80368,0.62164,1.69074,1.26335,0.01235,3.00475e-05,3.00475e-05,3.00475e-05
52,61.9359,1.07422,1.05048,0.00953,0.68388,0.66522,0.80368,0.62164,1.69074,1.26335,0.01235,3.00476e-05,3.00476e-05,3.00476e-05
53,63.0298,0.79431,1.27672,0.01236,0.68388,0.66522,0.80368,0.62164,1.69074,1.26335,0.01235,3.00242e-05,3.00242e-05,3.00242e-05
54,64.164,1.08404,1.8228,0.01844,0.79389,0.6593,0.87274,0.66295,1.70689,1.22072,0.01255,2.99772e-05,2.99772e-05,2.99772e-05
55,65.2887,1.07675,1.31614,0.01102,0.79389,0.6593,0.87274,0.66295,1.70689,1.22072,0.01255,2.99066e-05,2.99066e-05,2.99066e-05
56,66.3818,0.83543,1.61142,0.00837,0.79389,0.6593,0.87274,0.66295,1.70689,1.22072,0.01255,2.98125e-05,2.98125e-05,2.98125e-05
57,67.7347,0.81928,1.07782,0.00982,0.86909,0.65208,0.87274,0.67118,1.70382,1.21503,0.01243,2.96948e-05,2.96948e-05,2.96948e-05
58,68.9839,0.81809,1.08802,0.00764,0.86909,0.65208,0.87274,0.67118,1.70382,1.21503,0.01243,2.95535e-05,2.95535e-05,2.95535e-05
59,70.161,1.10466,1.37599,0.01613,0.86909,0.65208,0.87274,0.67118,1.70382,1.21503,0.01243,2.93887e-05,2.93887e-05,2.93887e-05
60,71.3491,1.11462,1.88958,0.01823,0.67184,0.66687,0.87171,0.65346,1.69263,1.28036,0.01297,2.92003e-05,2.92003e-05,2.92003e-05
61,72.6305,0.70716,1.11126,0.00768,0.67184,0.66687,0.87171,0.65346,1.69263,1.28036,0.01297,2.89884e-05,2.89884e-05,2.89884e-05
62,73.8656,0.89579,0.98104,0.01561,0.67184,0.66687,0.87171,0.65346,1.69263,1.28036,0.01297,2.87529e-05,2.87529e-05,2.87529e-05
63,75.0658,1.44957,2.99181,0.03051,0.61389,0.66936,0.78984,0.57975,1.70122,1.33128,0.01309,2.84938e-05,2.84938e-05,2.84938e-05
64,76.261,0.87102,1.27486,0.00812,0.61389,0.66936,0.78984,0.57975,1.70122,1.33128,0.01309,2.82112e-05,2.82112e-05,2.82112e-05
65,77.4479,1.05583,1.13748,0.0115,0.61389,0.66936,0.78984,0.57975,1.70122,1.33128,0.01309,2.7905e-05,2.7905e-05,2.7905e-05
66,78.7495,0.76074,0.83056,0.01283,0.62289,0.66364,0.78607,0.57811,1.73178,1.33907,0.01345,2.75753e-05,2.75753e-05,2.75753e-05
67,79.9418,0.88592,0.72354,0.00821,0.62289,0.66364,0.78607,0.57811,1.73178,1.33907,0.01345,2.7222e-05,2.7222e-05,2.7222e-05
68,81.1175,1.13418,1.47326,0.01324,0.62289,0.66364,0.78607,0.57811,1.73178,1.33907,0.01345,2.68451e-05,2.68451e-05,2.68451e-05
69,82.3477,0.91345,0.978,0.01263,0.5934,0.66461,0.78605,0.56758,1.7491,1.38411,0.01381,2.64447e-05,2.64447e-05,2.64447e-05
70,83.5354,1.3023,1.98525,0.02069,0.5934,0.66461,0.78605,0.56758,1.7491,1.38411,0.01381,2.60207e-05,2.60207e-05,2.60207e-05
71,84.6875,0.80894,0.9397,0.0077,0.5934,0.66461,0.78605,0.56758,1.7491,1.38411,0.01381,2.55731e-05,2.55731e-05,2.55731e-05
72,85.8834,0.98727,0.82931,0.00892,0.628,0.68188,0.78565,0.56742,1.72698,1.35941,0.01358,2.5102e-05,2.5102e-05,2.5102e-05
73,87.0837,0.77789,1.18588,0.0101,0.628,0.68188,0.78565,0.56742,1.72698,1.35941,0.01358,2.46073e-05,2.46073e-05,2.46073e-05
74,88.2705,0.93365,1.19104,0.01092,0.628,0.68188,0.78565,0.56742,1.72698,1.35941,0.01358,2.40891e-05,2.40891e-05,2.40891e-05
75,89.4879,1.18996,1.4865,0.02017,0.90936,0.47769,0.78407,0.56697,1.78304,1.3158,0.0144,2.35472e-05,2.35472e-05,2.35472e-05
76,90.7838,0.95506,0.87993,0.01129,0.90936,0.47769,0.78407,0.56697,1.78304,1.3158,0.0144,2.29819e-05,2.29819e-05,2.29819e-05
77,91.9814,1.02175,0.98857,0.01084,0.90936,0.47769,0.78407,0.56697,1.78304,1.3158,0.0144,2.23929e-05,2.23929e-05,2.23929e-05
78,93.2702,1.19215,1.52493,0.01533,0.76189,0.47221,0.76569,0.54312,1.80156,1.38439,0.01489,2.17805e-05,2.17805e-05,2.17805e-05
79,94.4857,0.69727,0.7747,0.00752,0.76189,0.47221,0.76569,0.54312,1.80156,1.38439,0.01489,2.11444e-05,2.11444e-05,2.11444e-05
80,95.6505,0.93476,0.83055,0.01138,0.76189,0.47221,0.76569,0.54312,1.80156,1.38439,0.01489,2.04848e-05,2.04848e-05,2.04848e-05
81,96.8805,0.86936,0.90954,0.01483,0.77153,0.4643,0.75687,0.54238,1.70231,1.48555,0.01413,1.98016e-05,1.98016e-05,1.98016e-05
82,98.0102,0.80059,0.53042,0.01276,0.77153,0.4643,0.75687,0.54238,1.70231,1.48555,0.01413,1.90949e-05,1.90949e-05,1.90949e-05
83,99.1706,0.96173,1.8735,0.01264,0.77153,0.4643,0.75687,0.54238,1.70231,1.48555,0.01413,1.83646e-05,1.83646e-05,1.83646e-05
84,100.341,0.73206,0.95689,0.01134,0.94098,0.46545,0.70116,0.49409,1.71902,1.60677,0.01467,1.76107e-05,1.76107e-05,1.76107e-05
85,101.537,0.82404,1.36308,0.0092,0.94098,0.46545,0.70116,0.49409,1.71902,1.60677,0.01467,1.68333e-05,1.68333e-05,1.68333e-05
86,102.703,1.14714,1.96788,0.02216,0.94098,0.46545,0.70116,0.49409,1.71902,1.60677,0.01467,1.60323e-05,1.60323e-05,1.60323e-05
87,103.839,1.09662,1.36666,0.01342,0.94098,0.46545,0.70116,0.49409,1.71902,1.60677,0.01467,1.52077e-05,1.52077e-05,1.52077e-05
88,105.015,1.01938,1.26086,0.01485,0.67515,0.48279,0.67382,0.4601,1.68059,1.72576,0.01404,1.43596e-05,1.43596e-05,1.43596e-05
89,106.129,1.18823,1.62993,0.01681,0.67515,0.48279,0.67382,0.4601,1.68059,1.72576,0.01404,1.34879e-05,1.34879e-05,1.34879e-05
90,107.283,0.86461,1.04266,0.00911,0.67515,0.48279,0.67382,0.4601,1.68059,1.72576,0.01404,1.25927e-05,1.25927e-05,1.25927e-05
91,108.414,0.65714,0.48614,0.00943,0.67515,0.48279,0.67382,0.4601,1.68059,1.72576,0.01404,1.16739e-05,1.16739e-05,1.16739e-05
92,109.616,0.51862,0.52034,0.00566,0.5975,0.49977,0.67107,0.47553,1.82126,1.54376,0.01524,1.07315e-05,1.07315e-05,1.07315e-05
93,110.76,0.8855,0.93652,0.01672,0.5975,0.49977,0.67107,0.47553,1.82126,1.54376,0.01524,9.76562e-06,9.76562e-06,9.76562e-06
94,111.878,0.62626,0.50769,0.00626,0.5975,0.49977,0.67107,0.47553,1.82126,1.54376,0.01524,8.77613e-06,8.77613e-06,8.77613e-06
95,112.984,1.13333,0.87732,0.01901,0.5975,0.49977,0.67107,0.47553,1.82126,1.54376,0.01524,7.76308e-06,7.76308e-06,7.76308e-06
96,114.146,0.77553,0.61318,0.01147,0.56342,0.49881,0.65723,0.47686,1.85237,1.5145,0.01592,6.72648e-06,6.72648e-06,6.72648e-06
97,115.265,0.64708,0.40864,0.00716,0.56342,0.49881,0.65723,0.47686,1.85237,1.5145,0.01592,5.6663e-06,5.6663e-06,5.6663e-06
98,116.419,0.7827,0.61929,0.01408,0.56342,0.49881,0.65723,0.47686,1.85237,1.5145,0.01592,4.58257e-06,4.58257e-06,4.58257e-06
99,117.539,0.84009,0.57153,0.00973,0.56342,0.49881,0.65723,0.47686,1.85237,1.5145,0.01592,3.47528e-06,3.47528e-06,3.47528e-06
100,118.687,0.6823,0.61969,0.0067,0.57203,0.49991,0.68542,0.49068,1.80319,1.47732,0.01503,2.34442e-06,2.34442e-06,2.34442e-06
